Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          45724	      2274	80000870	02ddadb3	mulhsu	x27,x27,x13	 x27:0x00000001 x13:0x00000000 x27=0x00000000
          46464	      2311	80000874	022ccbb3	div	x23,x25,x2	 x25:0x0000002d  x2:0xc9759bb2 x23=0x00000000
          46484	      2312	80000878	82dd	c.srli	x13,0x17	 x13:0x00000000 x13=0x00000000
          46504	      2313	8000087a	83cd	c.srli	x15,0x13	 x15:0x00000000 x15=0x00000000
          46524	      2314	8000087c	829d	c.srli	x13,0x7	 x13:0x00000000 x13=0x00000000
          46544	      2315	8000087e	00ddd493	srli	x9,x27,0xd	 x27:0x00000000  x9=0x00000000
          46564	      2316	80000882	8ac9	c.andi	x13,18	 x13:0x00000000 x13=0x00000000
          46584	      2317	80000884	8a9d	c.andi	x13,7	 x13:0x00000000 x13=0x00000000
          46624	      2319	80000886	5dd03893	sltiu	x17,x0,1501	  x0:0x00000000 x17=0x00000001
          46684	      2322	8000088a	0e5d0017	auipc	x0,0xe5d0	  x0=0x00000000
          46704	      2323	8000088e	809a	c.mv	x1,x6	  x0:0x00000000  x6:0x00000000  x1=0x00000000
          46744	      2325	80000890	0495	c.addi	x9,5	  x9:0x00000000  x9=0x00000005
          46804	      2328	80000892	361c4197	auipc	x3,0x361c4	  x3=0xb61c4892
          46824	      2329	80000896	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          46864	      2331	80000898	01307433	and	x8,x0,x19	  x0:0x00000000 x19:0x00000000  x8=0x00000000
          46924	      2334	8000089c	0e22	c.slli	x28,0x8	 x28:0x876a2000 x28=0x6a200000
          46984	      2337	8000089e	0044d633	srl	x12,x9,x4	  x9:0x00000005  x4:0x00000000 x12=0x00000005
          47044	      2340	800008a2	e4d5f993	andi	x19,x11,-435	 x11:0xe82e67a5 x19=0xe82e6605
          47064	      2341	800008a6	86ad	c.srai	x13,0xb	 x13:0x00000000 x13=0x00000000
          47104	      2343	800008a8	8ed5	c.or	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          47884	      2382	800008aa	0224c4b3	div	x9,x9,x2	  x9:0x00000005  x2:0xc9759bb2  x9=0x00000000
          47904	      2383	800008ae	0a14	c.addi4spn	x13,x2,272	 x13=0xc9759cc2
          47924	      2384	800008b0	a9826137	lui	x2,0xa9826	  x2=0xa9826000
          47944	      2385	800008b4	41040833	sub	x16,x8,x16	  x8:0x00000000 x16:0xb6b719ca x16=0x4948e636
          48004	      2388	800008b8	8f95	c.sub	x15,x13	 x15:0x00000000 x13:0xc9759cc2 x15=0x368a633e
          48064	      2391	800008ba	3e8bbc97	auipc	x25,0x3e8bb	 x25=0xbe8bb8ba
          48184	      2397	800008be	028c9a33	mulh	x20,x25,x8	 x25:0xbe8bb8ba  x8:0x00000000 x20=0x00000000
          48204	      2398	800008c2	01e840b3	xor	x1,x16,x30	 x16:0x4948e636 x30:0x00000000  x1=0x4948e636
          48224	      2399	800008c6	8ed5	c.or	x13,x13	 x13:0xc9759cc2 x13:0xc9759cc2 x13=0xc9759cc2
          48244	      2400	800008c8	01e79c13	slli	x24,x15,0x1e	 x15:0x368a633e x24=0x80000000
          48304	      2403	800008cc	1614	c.addi4spn	x13,x2,800	 x13=0xa9826320
          48324	      2404	800008ce	87de	c.mv	x15,x23	  x0:0x00000000 x23:0x00000000 x15=0x00000000
          48424	      2409	800008d0	02c21cb3	mulh	x25,x4,x12	  x4:0x00000000 x12:0x00000005 x25=0x00000000
          48444	      2410	800008d4	2c4d8013	addi	x0,x27,708	 x27:0x00000000  x0=0x00000000
          48484	      2412	800008d8	018ba1b3	slt	x3,x23,x24	 x23:0x00000000 x24:0x80000000  x3=0x00000000
          48544	      2415	800008dc	40930233	sub	x4,x6,x9	  x6:0x00000000  x9:0x00000000  x4=0x00000000
          48604	      2418	800008e0	50fd	c.li	x1,-1	  x1=0xffffffff
          48624	      2419	800008e2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          48664	      2421	800008e4	0a45	c.addi	x20,17	 x20:0x00000000 x20=0x00000011
          48684	      2422	800008e6	91ca	c.add	x3,x18	  x3:0x00000000 x18:0x00000000  x3=0x00000000
          48724	      2424	800008e8	86cd	c.srai	x13,0x13	 x13:0xa9826320 x13=0xfffff530
          48804	      2428	800008ea	03b66833	rem	x16,x12,x27	 x12:0x00000005 x27:0x00000000 x16=0x00000005
          48844	      2430	800008ee	428c7513	andi	x10,x24,1064	 x24:0x80000000 x10=0x00000000
          48864	      2431	800008f2	8ec9	c.or	x13,x10	 x13:0xfffff530 x10:0x00000000 x13=0xfffff530
          48904	      2433	800008f4	01fabcb3	sltu	x25,x21,x31	 x21:0x00000000 x31:0xff057b01 x25=0x00000001
          48964	      2436	800008f8	411581b3	sub	x3,x11,x17	 x11:0xe82e67a5 x17:0x00000001  x3=0xe82e67a4
          49744	      2475	800008fc	025d44b3	div	x9,x26,x5	 x26:0x8000ae64  x5:0xffffffff  x9=0x7fff519c
          49764	      2476	80000900	8e95	c.sub	x13,x13	 x13:0xfffff530 x13:0xfffff530 x13=0x00000000
          49784	      2477	80000902	00dfb833	sltu	x16,x31,x13	 x31:0xff057b01 x13:0x00000000 x16=0x00000000
          49804	      2478	80000906	00cad533	srl	x10,x21,x12	 x21:0x00000000 x12:0x00000005 x10=0x00000000
          49824	      2479	8000090a	717d	c.addi16sp	x2,-16	  x2:0xa9826000  x2=0xa9825ff0
          49864	      2481	8000090c	9cab4013	xori	x0,x22,-1590	 x22:0xe82e67a4  x0=0x00000000
          49924	      2484	80000910	717d	c.addi16sp	x2,-16	  x2:0xa9825ff0  x2=0xa9825fe0
          49984	      2487	80000912	b366ad93	slti	x27,x13,-1226	 x13:0x00000000 x27=0x00000000
          50044	      2490	80000916	17a67a13	andi	x20,x12,378	 x12:0x00000005 x20=0x00000000
          50104	      2493	8000091a	019d99b3	sll	x19,x27,x25	 x27:0x00000000 x25:0x00000001 x19=0x00000000
          50164	      2496	8000091e	01342eb3	slt	x29,x8,x19	  x8:0x00000000 x19:0x00000000 x29=0x00000000
          50284	      2502	80000922	027ab0b3	mulhu	x1,x21,x7	 x21:0x00000000  x7:0x8000ae64  x1=0x00000000
          50304	      2503	80000926	fc802513	slti	x10,x0,-56	  x0:0x00000000 x10=0x00000000
          50344	      2505	8000092a	0078f333	and	x6,x17,x7	 x17:0x00000001  x7:0x8000ae64  x6=0x00000000
          50364	      2506	8000092e	80e9	c.srli	x9,0x1a	  x9:0x7fff519c  x9=0x0000001f
          50404	      2508	80000930	41da5a13	srai	x20,x20,0x1d	 x20:0x00000000 x20=0x00000000
          50464	      2511	80000934	717d	c.addi16sp	x2,-16	  x2:0xa9825fe0  x2=0xa9825fd0
          50524	      2514	80000936	41510033	sub	x0,x2,x21	  x2:0xa9825fd0 x21:0x00000000  x0=0x00000000
          50604	      2518	8000093a	037840b3	div	x1,x16,x23	 x16:0x00000000 x23:0x00000000  x1=0xffffffff
          50644	      2520	8000093e	0015e133	or	x2,x11,x1	 x11:0xe82e67a5  x1:0xffffffff  x2=0xffffffff
          50704	      2523	80000942	017c7733	and	x14,x24,x23	 x24:0x80000000 x23:0x00000000 x14=0x00000000
          50764	      2526	80000946	01ab2833	slt	x16,x22,x26	 x22:0xe82e67a4 x26:0x8000ae64 x16=0x00000000
          50824	      2529	8000094a	010bbeb3	sltu	x29,x23,x16	 x23:0x00000000 x16:0x00000000 x29=0x00000000
          50884	      2532	8000094e	52b42393	slti	x7,x8,1323	  x8:0x00000000  x7=0x00000001
          50944	      2535	80000952	00a764b3	or	x9,x14,x10	 x14:0x00000000 x10:0x00000000  x9=0x00000000
          51004	      2538	80000956	005c2cb3	slt	x25,x24,x5	 x24:0x80000000  x5:0xffffffff x25=0x00000001
          51064	      2541	8000095a	01e978b3	and	x17,x18,x30	 x18:0x00000000 x30:0x00000000 x17=0x00000000
          51124	      2544	8000095e	53a4fe13	andi	x28,x9,1338	  x9:0x00000000 x28=0x00000000
          51184	      2547	80000962	435912b7	lui	x5,0x43591	  x5=0x43591000
          51204	      2548	80000966	9eca	c.add	x29,x18	 x29:0x00000000 x18:0x00000000 x29=0x00000000
          51244	      2550	80000968	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          51344	      2555	8000096a	02aa0833	mul	x16,x20,x10	 x20:0x00000000 x10:0x00000000 x16=0x00000000
          51364	      2556	8000096e	41fb5993	srai	x19,x22,0x1f	 x22:0xe82e67a4 x19=0xffffffff
          51424	      2559	80000972	00c4d3b3	srl	x7,x9,x12	  x9:0x00000000 x12:0x00000005  x7=0x00000000
          51484	      2562	80000976	40da80b3	sub	x1,x21,x13	 x21:0x00000000 x13:0x00000000  x1=0x00000000
          51584	      2567	8000097a	03c20a33	mul	x20,x4,x28	  x4:0x00000000 x28:0x00000000 x20=0x00000000
          51604	      2568	8000097e	8992	c.mv	x19,x4	  x0:0x00000000  x4:0x00000000 x19=0x00000000
          51624	      2569	80000980	08e5	c.addi	x17,25	 x17:0x00000000 x17=0x00000019
          51644	      2570	80000982	6489	c.lui	x9,0x2	  x9=0x00002000
          51664	      2571	80000984	01975013	srli	x0,x14,0x19	 x14:0x00000000  x0=0x00000000
          51744	      2575	80000988	030f5633	divu	x12,x30,x16	 x30:0x00000000 x16:0x00000000 x12=0xffffffff
          51784	      2577	8000098c	86a5	c.srai	x13,0x9	 x13:0x00000000 x13=0x00000000
          51844	      2580	8000098e	41bb57b3	sra	x15,x22,x27	 x22:0xe82e67a4 x27:0x00000000 x15=0xe82e67a4
          51864	      2581	80000992	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          51904	      2583	80000994	8c15	c.sub	x8,x13	  x8:0x00000000 x13:0x00000000  x8=0x00000000
          51924	      2584	80000996	6c9d	c.lui	x25,0x7	 x25=0x00007000
          52024	      2589	80000998	03a83033	mulhu	x0,x16,x26	 x16:0x00000000 x26:0x8000ae64  x0=0x00000000
          52044	      2590	8000099c	415d0b33	sub	x22,x26,x21	 x26:0x8000ae64 x21:0x00000000 x22=0x8000ae64
          52084	      2592	800009a0	c51a6637	lui	x12,0xc51a6	 x12=0xc51a6000
          52144	      2595	800009a4	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          52164	      2596	800009a6	8edd	c.or	x13,x15	 x13:0x00000000 x15:0xe82e67a4 x13=0xe82e67a4
          52204	      2598	800009a8	8eb5	c.xor	x13,x13	 x13:0xe82e67a4 x13:0xe82e67a4 x13=0x00000000
          52284	      2602	800009aa	0207e933	rem	x18,x15,x0	 x15:0xe82e67a4  x0:0x00000000 x18=0xe82e67a4
          52304	      2603	800009ae	99ae	c.add	x19,x11	 x19:0x00000000 x11:0xe82e67a5 x19=0xe82e67a5
          52324	      2604	800009b0	01fef6b3	and	x13,x29,x31	 x29:0x00000000 x31:0xff057b01 x13=0x00000000
          52384	      2607	800009b4	01c99a13	slli	x20,x19,0x1c	 x19:0xe82e67a5 x20=0x50000000
          53164	      2646	800009b8	0394d9b3	divu	x19,x9,x25	  x9:0x00002000 x25:0x00007000 x19=0x00000000
          53184	      2647	800009bc	4b01	c.li	x22,0	 x22=0x00000000
          53204	      2648	800009be	4e81	c.li	x29,0	 x29=0x00000000
          53224	      2649	800009c0	4e01	c.li	x28,0	 x28=0x00000000
          53244	      2650	800009c2	4d81	c.li	x27,0	 x27=0x00000000
          53264	      2651	800009c4	1867ecb7	lui	x25,0x1867e	 x25=0x1867e000
          53284	      2652	800009c8	984c8c93	addi	x25,x25,-1660	 x25:0x1867e000 x25=0x1867d984
          53344	      2655	800009cc	4281	c.li	x5,0	  x5=0x00000000
          53364	      2656	800009ce	4c01	c.li	x24,0	 x24=0x00000000
          53404	      2658	800009d0	4481	c.li	x9,0	  x9=0x00000000
          53424	      2659	800009d2	4585	c.li	x11,1	 x11=0x00000001
          53464	      2661	800009d4	4501	c.li	x10,0	 x10=0x00000000
          53484	      2662	800009d6	1efd	c.addi	x29,-1	 x29:0x00000000 x29=0xffffffff
          53524	      2664	800009d8	41b48bb3	sub	x23,x9,x27	  x9:0x00000000 x27:0x00000000 x23=0x00000000
          53584	      2667	800009dc	91d2	c.add	x3,x20	  x3:0xe82e67a4 x20:0x50000000  x3=0x382e67a4
          53604	      2668	800009de	8d15	c.sub	x10,x13	 x10:0x00000000 x13:0x00000000 x10=0x00000000
          53644	      2670	800009e0	82c6	c.mv	x5,x17	  x0:0x00000000 x17:0x00000019  x5=0x00000019
          53664	      2671	800009e2	6371	c.lui	x6,0x1c	  x6=0x0001c000
          53704	      2673	800009e4	0694	c.addi4spn	x13,x2,832	 x13=0x0000033f
          53724	      2674	800009e6	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          53764	      2676	800009e8	9ee01497	auipc	x9,0x9ee01	  x9=0x1ee019e8
          53824	      2679	800009ec	608d	c.lui	x1,0x3	  x1=0x00003000
          53884	      2682	800009ee	33dc4037	lui	x0,0x33dc4	  x0=0x00000000
          53944	      2685	800009f2	9ff10e93	addi	x29,x2,-1537	  x2:0xffffffff x29=0xfffff9fe
          54004	      2688	800009f6	00ac8333	add	x6,x25,x10	 x25:0x1867d984 x10:0x00000000  x6=0x1867d984
          54024	      2689	800009fa	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          54064	      2691	800009fc	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          54124	      2694	800009fe	016cccb3	xor	x25,x25,x22	 x25:0x1867d984 x22:0x00000000 x25=0x1867d984
          54244	      2700	80000a02	03501a33	mulh	x20,x0,x21	  x0:0x00000000 x21:0x00000000 x20=0x00000000
          54264	      2701	80000a06	01229333	sll	x6,x5,x18	  x5:0x00000019 x18:0xe82e67a4  x6=0x00000190
          54304	      2703	80000a0a	00190033	add	x0,x18,x1	 x18:0xe82e67a4  x1:0x00003000  x0=0x00000000
          54404	      2708	80000a0e	026982b3	mul	x5,x19,x6	 x19:0x00000000  x6:0x00000190  x5=0x00000000
          54424	      2709	80000a12	8ef5	c.and	x13,x13	 x13:0x0000033f x13:0x0000033f x13=0x0000033f
          54444	      2710	80000a14	fbd5a013	slti	x0,x11,-67	 x11:0x00000001  x0=0x00000000
          54484	      2712	80000a18	40bf89b3	sub	x19,x31,x11	 x31:0xff057b01 x11:0x00000001 x19=0xff057b00
          54544	      2715	80000a1c	41ff86b3	sub	x13,x31,x31	 x31:0xff057b01 x31:0xff057b01 x13=0x00000000
          54664	      2721	80000a20	027d3c33	mulhu	x24,x26,x7	 x26:0x8000ae64  x7:0x00000000 x24=0x00000000
          54684	      2722	80000a24	8ef5	c.and	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          54724	      2724	80000a26	015a2833	slt	x16,x20,x21	 x20:0x00000000 x21:0x00000000 x16=0x00000000
          54744	      2725	80000a2a	61dd	c.lui	x3,0x17	  x3=0x00017000
          54784	      2727	80000a2c	87eb8397	auipc	x7,0x87eb8	  x7=0x07eb8a2c
          54844	      2730	80000a30	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          54904	      2733	80000a32	01563833	sltu	x16,x12,x21	 x12:0xc51a6000 x21:0x00000000 x16=0x00000000
          54984	      2737	80000a36	03c24db3	div	x27,x4,x28	  x4:0x00000000 x28:0x00000000 x27=0xffffffff
          55004	      2738	80000a3a	8881	c.andi	x9,0	  x9:0x1ee019e8  x9=0x00000000
          55024	      2739	80000a3c	8ae5	c.andi	x13,25	 x13:0x00000000 x13=0x00000000
          55804	      2778	80000a3e	02fe50b3	divu	x1,x28,x15	 x28:0x00000000 x15:0xe82e67a4  x1=0x00000000
          55884	      2782	80000a42	03d024b3	mulhsu	x9,x0,x29	  x0:0x00000000 x29:0xfffff9fe  x9=0x00000000
          55904	      2783	80000a46	f6aff013	andi	x0,x31,-150	 x31:0xff057b01  x0=0x00000000
          55924	      2784	80000a4a	9afd	c.andi	x13,-1	 x13:0x00000000 x13=0x00000000
          56004	      2788	80000a4c	02c491b3	mulh	x3,x9,x12	  x9:0x00000000 x12:0xc51a6000  x3=0x00000000
          56024	      2789	80000a50	e70d6013	ori	x0,x26,-400	 x26:0x8000ae64  x0=0x00000000
          56044	      2790	80000a54	1f688913	addi	x18,x17,502	 x17:0x00000019 x18=0x0000020f
          56104	      2793	80000a58	6141	c.addi16sp	x2,16	  x2:0xffffffff  x2=0x0000000f
          56224	      2799	80000a5a	02a713b3	mulh	x7,x14,x10	 x14:0x00000000 x10:0x00000000  x7=0x00000000
          56244	      2800	80000a5e	015556b3	srl	x13,x10,x21	 x10:0x00000000 x21:0x00000000 x13=0x00000000
          56284	      2802	80000a62	41bf8eb3	sub	x29,x31,x27	 x31:0xff057b01 x27:0xffffffff x29=0xff057b02
          56304	      2803	80000a66	63e5	c.lui	x7,0x19	  x7=0x00019000
          56344	      2805	80000a68	44c88b13	addi	x22,x17,1100	 x17:0x00000019 x22=0x00000465
          56404	      2808	80000a6c	809cc113	xori	x2,x25,-2039	 x25:0x1867d984  x2=0xe798218d
          56464	      2811	80000a70	00b381b3	add	x3,x7,x11	  x7:0x00019000 x11:0x00000001  x3=0x00019001
          56524	      2814	80000a74	8de1	c.and	x11,x8	 x11:0x00000001  x8:0x00000000 x11=0x00000000
          56544	      2815	80000a76	0cda	c.slli	x25,0x16	 x25:0x1867d984 x25=0x61000000
          56584	      2817	80000a78	01949013	slli	x0,x9,0x19	  x9:0x00000000  x0=0x00000000
          56684	      2822	80000a7c	03000a33	mul	x20,x0,x16	  x0:0x00000000 x16:0x00000000 x20=0x00000000
          56704	      2823	80000a80	00fbc833	xor	x16,x23,x15	 x23:0x00000000 x15:0xe82e67a4 x16=0xe82e67a4
          56764	      2826	80000a84	8299	c.srli	x13,0x6	 x13:0x00000000 x13=0x00000000
          56784	      2827	80000a86	0d9a	c.slli	x27,0x6	 x27:0xffffffff x27=0xffffffc0
          56884	      2832	80000a88	035c1633	mulh	x12,x24,x21	 x24:0x00000000 x21:0x00000000 x12=0x00000000
          56904	      2833	80000a8c	c054ab13	slti	x22,x9,-1019	  x9:0x00000000 x22=0x00000000
          56964	      2836	80000a90	02e6c3b3	div	x7,x13,x14	 x13:0x00000000 x14:0x00000000  x7=0xffffffff
          57004	      2838	80000a94	8f69	c.and	x14,x10	 x14:0x00000000 x10:0x00000000 x14=0x00000000
          57024	      2839	80000a96	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          57064	      2841	80000a98	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          57124	      2844	80000a9a	e7842eb7	lui	x29,0xe7842	 x29=0xe7842000
          57184	      2847	80000a9e	8fc5a013	slti	x0,x11,-1796	 x11:0x00000000  x0=0x00000000
          57204	      2848	80000aa2	6431	c.lui	x8,0xc	  x8=0x0000c000
          57244	      2850	80000aa4	f89dab93	slti	x23,x27,-119	 x27:0xffffffc0 x23=0x00000000
          57304	      2853	80000aa8	41efd1b3	sra	x3,x31,x30	 x31:0xff057b01 x30:0x00000000  x3=0xff057b01
          57384	      2857	80000aac	025c63b3	rem	x7,x24,x5	 x24:0x00000000  x5:0x00000000  x7=0x00000000
          57424	      2859	80000ab0	eb952793	slti	x15,x10,-327	 x10:0x00000000 x15=0x00000000
          57484	      2862	80000ab4	75cf4e93	xori	x29,x30,1884	 x30:0x00000000 x29=0x0000075c
          57544	      2865	80000ab8	01a59813	slli	x16,x11,0x1a	 x11:0x00000000 x16=0x00000000
          57604	      2868	80000abc	583576b7	lui	x13,0x58357	 x13=0x58357000
          57664	      2871	80000ac0	d035f313	andi	x6,x11,-765	 x11:0x00000000  x6=0x00000000
          57724	      2874	80000ac4	01cc84b3	add	x9,x25,x28	 x25:0x61000000 x28:0x00000000  x9=0x61000000
          57784	      2877	80000ac8	0571	c.addi	x10,28	 x10:0x00000000 x10=0x0000001c
          57844	      2880	80000aca	00712633	slt	x12,x2,x7	  x2:0xe798218d  x7:0x00000000 x12=0x00000001
          57864	      2881	80000ace	8ec1	c.or	x13,x8	 x13:0x58357000  x8:0x0000c000 x13=0x5835f000
          57904	      2883	80000ad0	8ef5	c.and	x13,x13	 x13:0x5835f000 x13:0x5835f000 x13=0x5835f000
          57924	      2884	80000ad2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          57964	      2886	80000ad4	717d	c.addi16sp	x2,-16	  x2:0xe798218d  x2=0xe798217d
          57984	      2887	80000ad6	8e55	c.or	x12,x13	 x12:0x00000001 x13:0x5835f000 x12=0x5835f001
          58024	      2889	80000ad8	8e95	c.sub	x13,x13	 x13:0x5835f000 x13:0x5835f000 x13=0x00000000
          58084	      2892	80000ada	9626b013	sltiu	x0,x13,-1694	 x13:0x00000000  x0=0x00000000
          58104	      2893	80000ade	8d15	c.sub	x10,x13	 x10:0x0000001c x13:0x00000000 x10=0x0000001c
          58144	      2895	80000ae0	85277313	andi	x6,x14,-1966	 x14:0x00000000  x6=0x00000000
          58264	      2901	80000ae4	026699b3	mulh	x19,x13,x6	 x13:0x00000000  x6:0x00000000 x19=0x00000000
          58284	      2902	80000ae8	86ad	c.srai	x13,0xb	 x13:0x00000000 x13=0x00000000
          58384	      2907	80000aea	02713ab3	mulhu	x21,x2,x7	  x2:0xe798217d  x7:0x00000000 x21=0x00000000
          58404	      2908	80000aee	015200b3	add	x1,x4,x21	  x4:0x00000000 x21:0x00000000  x1=0x00000000
          58444	      2910	80000af2	017144b3	xor	x9,x2,x23	  x2:0xe798217d x23:0x00000000  x9=0xe798217d
          58504	      2913	80000af6	00bdeeb3	or	x29,x27,x11	 x27:0xffffffc0 x11:0x00000000 x29=0xffffffc0
          58524	      2914	80000afa	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          58564	      2916	80000afc	012d88b3	add	x17,x27,x18	 x27:0xffffffc0 x18:0x0000020f x17=0x000001cf
          58624	      2919	80000b00	34267b13	andi	x22,x12,834	 x12:0x5835f001 x22=0x00000000
          58684	      2922	80000b04	0132c6b3	xor	x13,x5,x19	  x5:0x00000000 x19:0x00000000 x13=0x00000000
          58744	      2925	80000b08	8c99	c.sub	x9,x14	  x9:0xe798217d x14:0x00000000  x9=0xe798217d
          58764	      2926	80000b0a	60e5	c.lui	x1,0x19	  x1=0x00019000
          58804	      2928	80000b0c	6fe64437	lui	x8,0x6fe64	  x8=0x6fe64000
          58864	      2931	80000b10	8efd	c.and	x13,x15	 x13:0x00000000 x15:0x00000000 x13=0x00000000
          58984	      2937	80000b12	03dd3b33	mulhu	x22,x26,x29	 x26:0x8000ae64 x29:0xffffffc0 x22=0x8000ae43
          59004	      2938	80000b16	0180f533	and	x10,x1,x24	  x1:0x00019000 x24:0x00000000 x10=0x00000000
          59044	      2940	80000b1a	415bd1b3	sra	x3,x23,x21	 x23:0x00000000 x21:0x00000000  x3=0x00000000
          59104	      2943	80000b1e	f8273113	sltiu	x2,x14,-126	 x14:0x00000000  x2=0x00000001
          59164	      2946	80000b22	00441033	sll	x0,x8,x4	  x8:0x6fe64000  x4:0x00000000  x0=0x00000000
          59224	      2949	80000b26	94285017	auipc	x0,0x94285	  x0=0x00000000
          59244	      2950	80000b2a	8ed5	c.or	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          59284	      2952	80000b2c	9e22	c.add	x28,x8	 x28:0x00000000  x8:0x6fe64000 x28=0x6fe64000
          59304	      2953	80000b2e	909a	c.add	x1,x6	  x1:0x00019000  x6:0x00000000  x1=0x00019000
          59344	      2955	80000b30	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          59464	      2961	80000b32	03d69db3	mulh	x27,x13,x29	 x13:0x00000000 x29:0xffffffc0 x27=0x00000000
          59484	      2962	80000b36	01813333	sltu	x6,x2,x24	  x2:0x00000001 x24:0x00000000  x6=0x00000000
          59524	      2964	80000b3a	003538b3	sltu	x17,x10,x3	 x10:0x00000000  x3:0x00000000 x17=0x00000000
          59584	      2967	80000b3e	c4f7d537	lui	x10,0xc4f7d	 x10=0xc4f7d000
          59644	      2970	80000b42	0021d213	srli	x4,x3,0x2	  x3:0x00000000  x4=0x00000000
          59664	      2971	80000b46	8c01	c.sub	x8,x8	  x8:0x6fe64000  x8:0x6fe64000  x8=0x00000000
          59704	      2973	80000b48	41bdd493	srai	x9,x27,0x1b	 x27:0x00000000  x9=0x00000000
          59764	      2976	80000b4c	8ed5	c.or	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          59884	      2982	80000b4e	03e6b9b3	mulhu	x19,x13,x30	 x13:0x00000000 x30:0x00000000 x19=0x00000000
          59904	      2983	80000b52	52fd	c.li	x5,-1	  x5=0xffffffff
          59924	      2984	80000b54	dffc4913	xori	x18,x24,-513	 x24:0x00000000 x18=0xfffffdff
          59944	      2985	80000b58	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          59964	      2986	80000b5a	8c2e	c.mv	x24,x11	  x0:0x00000000 x11:0x00000000 x24=0x00000000
          60004	      2988	80000b5c	6151	c.addi16sp	x2,272	  x2:0x00000001  x2=0x00000111
          60024	      2989	80000b5e	933e	c.add	x6,x15	  x6:0x00000000 x15:0x00000000  x6=0x00000000
          60064	      2991	80000b60	9afd	c.andi	x13,-1	 x13:0x00000000 x13=0x00000000
          60124	      2994	80000b62	767dea37	lui	x20,0x767de	 x20=0x767de000
          60904	      3033	80000b66	03c0c033	div	x0,x1,x28	  x1:0x00019000 x28:0x6fe64000  x0=0x00000000
          60924	      3034	80000b6a	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          60944	      3035	80000b6c	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          60964	      3036	80000b6e	01596cb3	or	x25,x18,x21	 x18:0xfffffdff x21:0x00000000 x25=0xfffffdff
          61044	      3040	80000b72	028947b3	div	x15,x18,x8	 x18:0xfffffdff  x8:0x00000000 x15=0xffffffff
          61144	      3045	80000b76	0205b633	mulhu	x12,x11,x0	 x11:0x00000000  x0:0x00000000 x12=0x00000000
          61204	      3048	80000b7a	02498033	mul	x0,x19,x4	 x19:0x00000000  x4:0x00000000  x0=0x00000000
          61224	      3049	80000b7e	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          61244	      3050	80000b80	8ebd	c.xor	x13,x15	 x13:0x00000000 x15:0xffffffff x13=0xffffffff
          61264	      3051	80000b82	40f8d933	sra	x18,x17,x15	 x17:0x00000000 x15:0xffffffff x18=0x00000000
          61324	      3054	80000b86	23654593	xori	x11,x10,566	 x10:0xc4f7d000 x11=0xc4f7d236
          61384	      3057	80000b8a	3d0d7993	andi	x19,x26,976	 x26:0x8000ae64 x19=0x00000240
          61444	      3060	80000b8e	401ad7b3	sra	x15,x21,x1	 x21:0x00000000  x1:0x00019000 x15=0x00000000
          61464	      3061	80000b92	9afd	c.andi	x13,-1	 x13:0xffffffff x13=0xffffffff
          61504	      3063	80000b94	01e64033	xor	x0,x12,x30	 x12:0x00000000 x30:0x00000000  x0=0x00000000
          61564	      3066	80000b98	0294	c.addi4spn	x13,x2,320	 x13=0x00000251
          61664	      3071	80000b9a	03a28e33	mul	x28,x5,x26	  x5:0xffffffff x26:0x8000ae64 x28=0x7fff519c
          61684	      3072	80000b9e	5afd	c.li	x21,-1	 x21=0xffffffff
          61704	      3073	80000ba0	8e95	c.sub	x13,x13	 x13:0x00000251 x13:0x00000251 x13=0x00000000
          61764	      3076	80000ba2	0248eab3	rem	x21,x17,x4	 x17:0x00000000  x4:0x00000000 x21=0x00000000
          61784	      3077	80000ba6	070d	c.addi	x14,3	 x14:0x00000000 x14=0x00000003
